,Age,Candidate,Criminal_Case,PC_NAME,Education,Party,ST_NAME,Winner,Year,Liabilities_num,Assets_num,ST_PC
4087,49,Hemant Tukaram Godse,1,NASHIK,Others,SHS,MAHARASHTRA,Yes,2019,41083126,146869996,MAHARASHTRA:NASHIK
4090,31,Heena Vijaykumar Gavit,0,NANDURBAR,Post Graduate,BJP,MAHARASHTRA,Yes,2019,15291251,271634532,MAHARASHTRA:NANDURBAR
4137,57,Chikhalikar Pratap Govindrao,0,NANDED,12th Pass,BJP,MAHARASHTRA,Yes,2019,594000,52178606,MAHARASHTRA:NANDED
4150,35,Omprakash Bhupalsinh Alias Pavan Rajenimbalkar,4,OSMANABAD,12th Pass,SHS,MAHARASHTRA,Yes,2019,10045858,50299295,MAHARASHTRA:OSMANABAD
4152,47,Rahul Ramesh Shewale,0,MUMBAI SOUTH CENTRAL,Others,SHS,MAHARASHTRA,Yes,2019,7778954,18881363,MAHARASHTRA:MUMBAI SOUTH CENTRAL
4182,67,Arvind Sawant,1,MUMBAI SOUTH,Graduate,SHS,MAHARASHTRA,Yes,2019,0,27181577,MAHARASHTRA:MUMBAI SOUTH
4187,53,Bhonsle Shrimant Chhatrapati Udayanraje Pratapasinh Maharaj,8,SATARA,12th Pass,NCP,MAHARASHTRA,Yes,2019,12340338,1996813173,MAHARASHTRA:SATARA
4191,62,Nitin Jairam Gadkari,4,NAGPUR,Graduate Professional,BJP,MAHARASHTRA,Yes,2019,40729055,187916075,MAHARASHTRA:NAGPUR
4196,75,Gajanan Chandrakant Kirtikar,0,MUMBAI NORTH WEST,Graduate,SHS,MAHARASHTRA,Yes,2019,4032000,105392000,MAHARASHTRA:MUMBAI NORTH WEST
4200,46,Manoj Kishorbhai Kotak,2,MUMBAI NORTH EAST,10th Pass,BJP,MAHARASHTRA,Yes,2019,2048000,54661944,MAHARASHTRA:MUMBAI NORTH EAST
4281,38,Poonam Vajendla Rao,2,MUMBAI NORTH CENTRAL,Others,BJP,MAHARASHTRA,Yes,2019,0,22242513,MAHARASHTRA:MUMBAI NORTH CENTRAL
4288,65,Gopal Chinnaya Shetty,9,MUMBAI NORTH,5th Pass,BJP,MAHARASHTRA,Yes,2019,21136135,157535232,MAHARASHTRA:MUMBAI NORTH
4318,54,Sanjay Sadashivrao Mandlik,0,KOLHAPUR,Post Graduate,SHS,MAHARASHTRA,Yes,2019,10580414,95171892,MAHARASHTRA:KOLHAPUR
4333,42,Ranjeetsinha Hindurao Naik Nimbalkar,2,MADHA,12th Pass,BJP,MAHARASHTRA,Yes,2019,896315287,1275160578,MAHARASHTRA:MADHA
4340,57,Sudhakar Tukaram Shrangare,0,LATUR,10th Pass,BJP,MAHARASHTRA,Yes,2019,100250602,286478302,MAHARASHTRA:LATUR
4345,65,Danve Raosaheb Dadarao,2,JALNA,Graduate,BJP,MAHARASHTRA,Yes,2019,2400000,229557992,MAHARASHTRA:JALNA
4347,41,Unmesh Bhaiyyasaheb Patil,1,JALGAON,Graduate Professional,BJP,MAHARASHTRA,Yes,2019,2529954,12324604,MAHARASHTRA:JALGAON
4408,48,Patil Hemant Shriram,0,HINGOLI,Graduate,SHS,MAHARASHTRA,Yes,2019,1299983,18594458,MAHARASHTRA:HINGOLI
4413,38,Dhairyashil Sambhajirao Mane,0,HATKANANGLE,Graduate,SHS,MAHARASHTRA,Yes,2019,41599959,47771462,MAHARASHTRA:HATKANANGLE
4416,55,Shrirang Chandu Barne,3,MAVAL,8th Pass,SHS,MAHARASHTRA,Yes,2019,416612,1023310134,MAHARASHTRA:MAVAL
